track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,hit,era
What's Left Of Me,Nick Lachey,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd,0.421,0.728,7,-5.644,1,0.035,0.136,0.0,0.136,0.311,150.12,244667,4,29.22179,11,1,00
I Learned From The Best,Whitney Houston,spotify:track:3wACjmQo7ZkRNMLfZXndFB,0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76e-06,0.156,0.306,148.949,259533,4,41.68325,14,1,00
Broken,Seether Featuring Amy Lee,spotify:track:507bYMYfbm6sUS9iEAaeSd,0.448,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,258333,4,48.88537,12,1,00
I'd Do Anything,Simple Plan,spotify:track:4uVjbl6daCwjhDur7qLddu,0.395,0.917,8,-6.86,1,0.133,0.00143,0.0,0.261,0.563,169.088,197640,4,30.63383,6,1,00
Sleepy Silver Door,Dead Meadow,spotify:track:2HlBvuaKhdftTRb3TCklhQ,0.365,0.632,11,-6.574,1,0.0303,0.444,0.708,0.127,0.289,129.545,452747,4,43.87393,15,0,00
People Make The World Go Round (Boris Main Mix),Joi Cardwell,spotify:track:6UhrIkR4sDh8LpoWdUVzt1,0.792,0.637,4,-9.826,0,0.0743,0.000443,0.448,0.0698,0.366,127.989,481350,4,57.90045,18,0,00
God Is Dead,Heart Attack,spotify:track:0k3akiXIyGFLT31IC3twkP,0.343,0.972,1,-9.573,0,0.079,1.52e-06,0.51,0.0501,0.547,94.927,82187,4,14.98454,3,0,00
Meet Me Halfway,The Black Eyed Peas,spotify:track:0xfpx7AiwgSKEtjotea2L6,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,284373,4,30.48537,14,1,00
Deathmask Divine,The Black Dahlia Murder,spotify:track:3oCTRjyXmT1MMn4nVQMKBm,0.471,0.993,1,-3.738,1,0.191,7.36e-06,0.00216,0.0925,0.0672,113.996,217253,4,18.99449,12,0,00
Step Daddy,Hitman Sammy Sam,spotify:track:1TKRumlRMXv2SEKPhueya0,0.93,0.773,1,-5.98,1,0.0457,0.00609,0.000481,0.0767,0.348,118.997,230493,4,31.99187,10,1,00
Rock and Roll Marionett,Stein Ingebrigtsen,spotify:track:1VOPQGI9tO0S1SKSoOqAiC,0.682,0.579,7,-7.924,1,0.0712,0.196,0.0,0.136,0.784,100.186,222589,4,43.76046,8,0,00
I Miss You,Blink-182,spotify:track:1oTo3ijRbaDAtrjJrGAPSw,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240,4,30.64844,10,1,00
Gråt inga tårar mer,Titanix,spotify:track:3M9rd6Ypxn783h5Y5HLNjF,0.59,0.836,7,-2.805,1,0.0385,0.00334,0.0,0.0358,0.939,138.84,143000,4,45.10531,6,0,00
The Saints Are Coming,U2 & Green Day,spotify:track:6uQL0epVs9N9Bergafaf6x,0.315,0.81,4,-7.026,0,0.0468,0.0781,0.00321,0.152,0.118,152.116,201907,4,33.25761,11,1,00
Good Luck,Basement Jaxx,spotify:track:2bmmeB82W3J241MijDIiHk,0.577,0.936,5,-4.179,1,0.0915,0.0839,0.0,0.344,0.572,153.985,211547,4,25.54091,12,0,00
Beautiful,Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560,4,29.82293,11,1,00
The Orange Fox Waits,Robin Spielberg,spotify:track:1aTcDNvEBoqWN9FxuoBhfB,0.441,0.0712,2,-21.625,1,0.0456,0.995,0.934,0.0917,0.157,94.35,185533,4,58.47325,7,0,00
You Rock My World,Java Gospel,spotify:track:00nQhTtc8FxgmB0NWypSE0,0.662,0.854,1,-5.518,1,0.0434,0.133,0.0,0.333,0.915,121.961,245947,4,40.45327,11,0,00
Shadow Of The Day,Linkin Park,spotify:track:0OYcEfskah1egYHjYRvbg1,0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360,4,58.45602,9,1,00
99.9% Sure (I've Never Been Here Before),Brian McComas,spotify:track:14ymPtb1n06KzSm0J9bmMZ,0.606,0.959,7,-3.412,1,0.0522,0.0714,0.0,0.236,0.734,116.014,193293,4,59.85298,8,1,00
Some People Change,Montgomery Gentry,spotify:track:7cmZDjXMF1A0dGV726pMYs,0.55,0.61,2,-6.358,1,0.0388,0.0456,0.0,0.11,0.357,168.186,201867,4,24.3249,11,1,00
Right Where You Want Me,Jesse McCartney,spotify:track:58ZvuqZgeuZMCbpCsH9E76,0.72,0.548,4,-4.805,0,0.0291,0.00269,0.000118,0.0511,0.709,99.004,211693,4,28.30516,8,1,00
Baby It's You,JoJo Featuring Bow Wow,spotify:track:5TV96lkS2NF6kzILjORzLs,0.858,0.607,1,-4.199,1,0.118,0.0169,3.97e-05,0.0777,0.821,119.986,188293,3,66.31259,9,1,00
Help Pour Out The Rain (Lacey's Song),Buddy Jewell,spotify:track:4xWIqUIlfrusaaygS9RQsR,0.565,0.562,0,-7.43,1,0.0339,0.263,0.0,0.0994,0.652,75.035,229093,4,25.98469,9,1,00
Ever The Same,Rob Thomas,spotify:track:02acUMylPHMjJ9miDc9b38,0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,256600,4,41.42314,10,1,00
Bombay Jazz,Carlo Fashion,spotify:track:470NlXJBatHwrcnfGFJylg,0.65,0.72,11,-8.803,1,0.161,0.0238,0.14,0.367,0.738,154.664,170213,4,59.91442,4,0,00
Punk Fact Or Faction,Extreme Noise Terror,spotify:track:0dRyY3VAXutGwDyK1cB4ZL,0.173,0.997,4,-3.692,1,0.195,1.03e-05,0.631,0.324,0.0329,121.013,96013,4,28.09894,6,0,00
Fun in America,Jayne County,spotify:track:0pDrgytQok3cwE3RFFuCSW,0.359,0.979,2,-6.998,1,0.196,0.0105,0.0,0.0763,0.256,172.611,187907,4,20.91098,10,0,00
Sinking,Incendiary,spotify:track:691zGt8f43n3D2X068fHaa,0.209,0.923,7,-3.286,1,0.0598,5.66e-05,0.0505,0.326,0.42,93.347,170813,4,105.99946,5,0,00
Suffocate,J. Holiday,spotify:track:3nJjIYchBNkYm7B8XfJf5N,0.458,0.445,9,-8.391,0,0.361,0.64,0.0,0.118,0.447,82.82,220053,5,33.16176,7,1,00
Echoes of Fashion,Djako,spotify:track:2kEP1TKpYEiWS1mVLaP47f,0.71,0.787,7,-7.962,0,0.0365,0.00649,0.815,0.0609,0.422,128.05,288750,4,31.40298,11,0,00
I Touch Myself,Jan Wayne,spotify:track:5GrqtGJhoa6EqvCUs5fVYf,0.636,0.993,5,-5.203,0,0.0508,0.00878,0.268,0.26,0.478,141.97,223947,4,56.28675,11,0,00
Baby Please,Allison,spotify:track:2JMLgdz2Y5CnNPE70A1OYK,0.628,0.541,1,-5.568,1,0.0246,0.292,0.0,0.0933,0.443,102.513,157960,4,49.69981,7,0,00
If Nobody Believed In You,Joe Nichols,spotify:track:28NvPQZ8XVVlV2eGmUw2Za,0.679,0.316,6,-11.327,1,0.031,0.625,4.85e-05,0.109,0.273,127.968,235067,4,42.55397,9,1,00
Are You Gonna Be My Girl,Jet,spotify:track:305WCRhhS10XUcH6AEwZk6,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,4,20.87996,7,1,00
The Worms Will Get In,Jazkamer,spotify:track:5HwXiRSQIJfDDzZatkpMMY,0.0775,0.00796,1,-10.458,1,0.0413,0.841,0.923,0.102,0.029,72.592,1011760,4,12.57441,57,0,00
Prelude and Fugue in c-minor op. 37: Fugue,Felix Mendelssohn,spotify:track:6DwnOj01tAOlzZgtNy2zxN,0.106,0.0424,0,-19.749,0,0.0365,0.887,0.899,0.134,0.0377,63.533,256240,4,23.27108,12,0,00
One Thing,Finger Eleven,spotify:track:2BepFzUWfczDk68DXj10w3,0.588,0.555,1,-9.401,1,0.0334,0.447,0.0,0.0806,0.445,151.991,279573,4,25.8805,13,1,00
คนไร้ค่า,Stone Metal Fire,spotify:track:0K1U7QPsuA6tU0gJTvHZpC,0.473,0.464,10,-8.112,0,0.0287,0.00267,0.000663,0.107,0.25,128.955,272400,3,47.53233,12,0,00
You Know What It Is,T.I. Featuring Wyclef Jean,spotify:track:5Tc1KlDWyRnLLXL1y6ufsM,0.657,0.853,1,-4.757,0,0.252,0.17,0.0,0.0956,0.746,173.066,287133,4,24.82765,14,1,00
AM To PM,Christina Milian,spotify:track:4e4dNzVG8DBQqbhX57Wxe8,0.872,0.86,0,-3.488,0,0.131,0.158,1.41e-05,0.833,0.855,104.956,233587,4,54.45268,9,1,00
The Fear,Lily Allen,spotify:track:7bW6MqAdTclmHVHAOkIyPS,0.661,0.847,10,-6.948,1,0.0404,0.419,8.82e-05,0.107,0.522,134.002,207120,4,22.45476,8,1,00
Fallout (Of Our Being),Nausea,spotify:track:6SO0RfXtb6kgYO17lNwKn8,0.308,0.935,2,-7.309,0,0.124,0.00254,0.203,0.303,0.171,89.547,115853,4,71.55419,4,0,00
Come A Little Closer,Dierks Bentley,spotify:track:4HE1X1MtjHCjxicUHYQmyW,0.585,0.577,5,-5.752,1,0.0228,0.0587,0.00369,0.102,0.335,80.02,282720,4,22.54452,11,1,00
Encarnar no Seu Corpo,Sarcasmo,spotify:track:2KS0Ce6rbK7nsV67Lj85uQ,0.191,0.996,2,-4.596,1,0.159,5.12e-05,0.132,0.315,0.0752,110.512,318360,4,29.58095,12,0,00
Soul Sista,Bilal,spotify:track:54SqlaPV5mzRTBBWdnE1OO,0.598,0.412,11,-9.838,1,0.14,0.815,0.000352,0.114,0.431,146.039,339847,4,28.83319,18,1,00
Blue Aphrodite,Jens Buchert,spotify:track:5ovM96XM7jgTMTLh5Cixel,0.569,0.463,1,-12.441,1,0.0284,0.237,0.733,0.148,0.218,109.039,190000,4,23.13921,13,0,00
Il trattamento,Cor Veleno,spotify:track:5qUWO7mmcF83PMftjF3P09,0.803,0.821,1,-4.342,0,0.252,0.0449,0.0,0.115,0.763,100.031,229973,4,49.96968,7,0,00
With Me - Massive Power Mix,Crush 40,spotify:track:2IqacX5Aw5vEMbrL1j5UI4,0.447,0.874,8,-5.82,1,0.0457,6.52e-05,0.00078,0.0573,0.64,87.474,235000,4,33.77383,11,0,00
I Wanna Be With You,Mandy Moore,spotify:track:4du0TY3NTgvQGlelrBHfDL,0.515,0.908,8,-4.632,1,0.0368,0.0158,1.88e-05,0.412,0.637,150.031,252600,4,36.74395,13,1,00
