,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,hit,era,spotify_explicit,spotify_track_number,spotify_release_date,spotify_disc_number,spotify_album_total_tracks,spotify_album_type,spotify_album_uri,spotify_artist_count,spotify_track_type,spotify_num_markets
10,Black Cat,Janet Jackson,spotify:track:4tYpYYoOI7WDxbCnPninwE,0.705,0.913,4,-7.253,0,0.0484,0.103,0.00111,0.216,0.665,114.959,290573,4,44.28293,12,1,90,False,16,1989-09-19,disc_number,20,album,spotify:album:4OD3LU6001esAtFshDX46M,1,track,3
11,Piedra,Caifanes,spotify:track:3UvB63cZSpGUL3LvAj03dI,0.643,0.816,7,-8.535,1,0.0476,0.0357,7.28e-05,0.218,0.616,115.061,276067,4,31.51525,14,0,90,False,3,1992-06-08,disc_number,14,album,spotify:album:1WrK98KVZxkTgMD3a9Kpnl,1,track,178
12,Jack Introduces Don't Think Twice,Ramblin' Jack Elliott,spotify:track:2DKaYaAYW957D5zZ7WwLX3,0.567,0.0638,0,-27.025,0,0.897,0.706,0.0,0.497,0.54,87.712,108867,4,59.29921,5,0,90,False,9,1990-03-01,disc_number,22,album,spotify:album:4WaFwVuAt1FAtvPRghXstJ,3,track,177
13,I'll Be Loving You,Collage,spotify:track:0HznAaWAq5FRLnLyKNf9Tv,0.62,0.868,11,-6.805,0,0.0528,0.00591,0.0,0.248,0.339,133.97,228040,4,45.68575,9,1,90,False,1,2007-08-01,disc_number,12,album,spotify:album:6F8EpDgQMl2HmpiBAuRuJ3,1,track,174
14,Prelude and Story,Tony Kinsey,spotify:track:19yNBPOlv3pLFKZ1zoA6yE,0.295,0.209,5,-13.146,1,0.0348,0.916,0.00154,0.138,0.0786,126.328,362600,4,52.82156,18,0,90,False,31,1994-10-13,disc_number,34,compilation,spotify:album:648eqQAFskamLezXZBi4FT,1,track,172
15,No Fool No More,En Vogue,spotify:track:1RhaF2Eq1Zg1zR1MIaY9I1,0.53,0.679,2,-5.987,0,0.0523,0.444,0.0,0.0728,0.338,76.045,257573,4,35.00537,10,1,90,False,7,1999-06-01,disc_number,14,compilation,spotify:album:1dVhczEhJUyJpao75GZkA2,2,track,2
16,Universal Heart-Beat,Juliana Hatfield,spotify:track:7Hj5QvOZvdZKtlBuq8nTXE,0.534,0.814,2,-7.978,1,0.0717,0.0359,0.00539,0.721,0.686,127.967,205907,4,53.22886,8,1,90,False,3,1995,disc_number,14,album,spotify:album:2nZ7s7lTPwZ4ZqhqN9GfPI,1,track,178
17,Last Goodbye,Kenny Wayne Shepherd,spotify:track:2j9xf567RovYfYPmfDWgvG,0.461,0.695,7,-7.662,1,0.0282,0.0275,0.0,0.151,0.371,149.346,273600,4,41.53611,8,0,90,False,4,1999-10-01,disc_number,14,album,spotify:album:1uEtZDsanA3yg12pHOi980,1,track,178
18,Wade in the Water,Ella Jenkins,spotify:track:7exER11O6jaBmUWhOvWRGh,0.486,0.262,2,-11.864,0,0.0381,0.83,0.0,0.16,0.329,128.764,244160,4,24.69182,11,0,90,False,1,1998-10-20,disc_number,19,album,spotify:album:282a8mlindGXl873PxTues,1,track,175
19,Connected,Stereo MC's,spotify:track:5t09SnxOR2AelOghumKkXO,0.647,0.798,1,-12.144,0,0.0365,0.0498,0.00221,0.0722,0.706,100.631,314133,4,58.00848,8,1,90,False,1,1992-01-01,disc_number,13,album,spotify:album:2IozNWNXp77fqFQOgzpLcw,1,track,2
20,Transylvanian Concubine (The Manson Mix (Radio Edit))**,Rasputina,spotify:track:2SXswiR0TE3AULlCwvgg5E,0.666,0.765,1,-7.859,0,0.0973,3.86e-05,0.00529,0.81,0.563,103.971,173693,4,32.5386,9,0,90,False,1,1997-07-29,disc_number,6,single,spotify:album:3cMWI0V9yKC3ehvSaDSx0i,4,track,178
21,"Hey Helmut, wach auf! - Rock Mix",Holger,spotify:track:4TvUQYnEHNV5I5p0xF3lr4,0.48,0.775,7,-5.441,1,0.0545,0.66,7.36e-06,0.102,0.733,89.919,241693,3,49.42707,9,0,90,False,2,1994,disc_number,3,single,spotify:album:0H6AhYuiXOfqVmdWtL2YBu,1,track,178
22,Lo Mejor del Rock N' Roll,Expulsados,spotify:track:5nd5ZnTvznukaV2Hcesc09,0.273,0.824,2,-4.981,1,0.0742,0.0153,0.322,0.112,0.777,185.664,153360,4,24.11872,7,0,90,False,14,1999-01-15,disc_number,14,album,spotify:album:7rwJeeNVRQql41sePf41UC,1,track,0
23,Every Heartbeat,Amy Grant,spotify:track:55lX3vm1G35mUpawXHK5Te,0.648,0.89,2,-3.834,1,0.0429,0.288,0.0,0.119,0.808,126.956,213733,4,31.93258,12,1,90,False,3,1991,disc_number,11,album,spotify:album:6YbWlg2x8aIHASDTunWF8H,1,track,178
24,A Life of Possibilities,Dismemberment Plan,spotify:track:3TKWCQMU7xYEEslFXsj51i,0.709,0.837,7,-7.273,1,0.0779,0.101,0.511,0.114,0.502,125.485,274720,4,40.24415,9,0,90,False,1,1999-01-01,disc_number,12,album,spotify:album:0Y0V072vxDWEvCelPBaWAO,1,track,177
25,Sluttering (May 4th),Jawbreaker,spotify:track:3nJvdMhOmRW4cRLw0NN7qC,0.433,0.983,9,-5.415,1,0.079,0.00338,0.000454,0.228,0.632,158.985,254107,4,44.02017,10,0,90,False,11,1995-01-01,disc_number,13,album,spotify:album:7KyQp50wm9lprjaW6UMAkI,1,track,178
26,Reach For The Sky,Firehouse,spotify:track:4T2CCZX2QjiREym8lZ2G4v,0.562,0.891,1,-8.283,1,0.0361,1.21e-05,0.0588,0.0858,0.524,132.569,286733,4,31.92332,8,1,90,False,1,1992-03-31,disc_number,12,album,spotify:album:5XUrP0lz9D0I8qkly4uvQy,1,track,178
27,Decidete,Luis Miguel,spotify:track:49d9r0dPy455AM3VGxB7z4,0.614,0.904,9,-4.811,1,0.0375,0.63,0.0,0.336,0.772,135.606,183223,4,26.73278,11,0,90,False,2,1997,disc_number,17,album,spotify:album:2iHlHuAzbGeMt9J2udUDAl,1,track,1
28,"Musica ricercata: No. 7, Cantabile, molto legato",György Ligeti,spotify:track:3mWP6hxaJJUwrq3XPrL5Io,0.278,0.00897,10,-35.603,1,0.0328,0.986,0.781,0.0717,0.598,110.174,244120,3,44.81627,14,0,90,False,21,1996-12-11,disc_number,26,album,spotify:album:2N0KhIJJ0EaiDXJmxEj05T,2,track,164
29,On Point,House Of Pain,spotify:track:2h5hQFc6tPJO3O1tz0bSkY,0.814,0.537,1,-10.198,1,0.0691,0.0464,0.000319,0.0928,0.556,104.21,228867,4,46.72614,13,1,90,True,4,1994,disc_number,15,album,spotify:album:1rutlpOFa04j9xZXfWEijZ,1,track,178
30,Monster Jam,Spoonie Gee Meets The Sequence,spotify:track:2UyoRef5vZttyPKfYRAQ4J,0.882,0.914,4,-6.324,0,0.16,0.449,0.0,0.106,0.81,106.672,530067,4,49.22166,21,0,90,False,8,1997,disc_number,56,compilation,spotify:album:27rUdsqReF9tEWcG2Wv04U,1,track,13
31,To Be With You,Mr. Big,spotify:track:3Mmt6Xk0H6VR92PEp6x3hP,0.688,0.375,4,-9.601,1,0.0535,0.286,0.0,0.133,0.45,83.635,210480,4,107.10724,7,1,90,False,11,1991-03-26,disc_number,15,album,spotify:album:6CrjpyjlfjK95oHF6dvEnQ,1,track,171
32,Say It (Over And Over Again),John Coltrane Quartet,spotify:track:0URXszKHiOp6aav1bwYyBi,0.482,0.115,3,-14.606,1,0.035,0.946,0.286,0.256,0.237,66.801,258093,4,58.7767,7,0,90,False,1,1995-01-01,disc_number,8,album,spotify:album:4rvJOF96u6Sm5BmrseqqgR,1,track,0
33,Someday,Sugar Ray,spotify:track:6NcHJ23mLQKnVxQcOmT7JW,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.832,243333,4,25.36994,12,1,90,False,4,2005-06-17,disc_number,15,compilation,spotify:album:2hjQQj7x2YipViOCw6UX1N,1,track,178
34,Pop Loser,Velocity Girl,spotify:track:1ffCS0pYwGoNArwqFS0iGp,0.588,0.835,9,-8.511,0,0.0301,0.0808,0.00752,0.13,0.978,127.494,144840,4,30.52254,8,0,90,False,5,1993-03-01,disc_number,12,album,spotify:album:06E9wESlNSszH7lS26tfCK,1,track,0
35,Metal Maniac Master Mind,U.D.O.,spotify:track:0m9WMc5fzuoiVcSgIzKV7b,0.43,0.922,0,-8.334,1,0.0507,0.0723,0.00241,0.21,0.14,97.727,341200,4,23.95149,12,0,90,False,11,1991,disc_number,12,album,spotify:album:2G7iokF2ON2HiPU8BRC0iF,1,track,178
36,A Promise I Make,Dakota Moon,spotify:track:6dWbvrb0xygIlstvZxDhDJ,0.711,0.481,0,-8.135,0,0.0242,0.273,0.0,0.0952,0.392,90.118,267280,4,30.26556,11,1,90,False,2,1998-04-03,disc_number,13,album,spotify:album:3T3IzfeqG3PgOQZiUyU1Ux,1,track,178
37,Watch For The Hook,"Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor",spotify:track:6ixxG8aM1RKFYEjH0odRcP,0.561,0.72,1,-4.854,1,0.355,0.0211,0.0,0.353,0.518,86.953,271600,4,27.08999,10,1,90,False,2,1999-01-01,disc_number,17,album,spotify:album:6j6F0xCzwoDbCB4wxSBvBK,1,track,1
38,Powerful Thing,Trisha Yearwood,spotify:track:726S7vART4JYDbwIZwvHEm,0.614,0.868,2,-3.97,1,0.0459,0.413,0.0,0.0366,0.956,147.978,176920,4,37.24591,9,1,90,False,14,2007-01-01,disc_number,17,compilation,spotify:album:2p6Kod7VSlWtuQG5N6K2qF,1,track,121
39,Condon Nacional,Sexual Democracia,spotify:track:0lbIwYtlabSZqq3QJyERNL,0.631,0.458,7,-12.136,0,0.0441,0.275,0.0,0.19,0.627,90.96,300427,4,38.83737,16,0,90,False,6,1992-05-22,disc_number,12,album,spotify:album:6UBU6tniMEqIclNoZ6Cqmz,1,track,178
40,Hell Bent for Leather,Judas Priest,spotify:track:3SfQsnBVAeOBC8JM8cr9VS,0.497,0.831,9,-7.412,1,0.124,0.00758,2.02e-05,0.11,0.287,96.404,160107,4,24.51239,12,0,90,False,11,1993-04-28,disc_number,32,compilation,spotify:album:1ehArDgj0SoN588ZotEvKn,1,track,178
41,I Luv U Baby,The Original,spotify:track:6J3LHclKrdg1zLArH3kmF4,0.69,0.838,8,-6.392,1,0.0329,0.106,8.9e-06,0.267,0.902,126.821,213000,4,22.31218,14,1,90,False,1,2004-05-24,disc_number,16,single,spotify:album:7LgsDPzNTZGIxAOlzwscrR,1,track,0
42,For the Love of God,Steve Vai,spotify:track:5m5I3KcV83zf2p2qbsnr3y,0.152,0.842,9,-5.783,0,0.0418,0.00347,0.912,0.115,0.283,95.49,363333,4,73.27519,19,0,90,False,7,1990-07,disc_number,14,album,spotify:album:1fyrOcra2DI3quvnzAEQ45,1,track,178
43,Yamral Tiletish,The Roha Band,spotify:track:5euumLX8rQyUPztEepOtkt,0.672,0.697,0,-9.754,1,0.031,0.436,2.59e-06,0.123,0.846,112.137,341600,4,20.57658,14,0,90,False,7,1990,disc_number,10,album,spotify:album:4H9lHMCFr8kvhtvzcUGJ2C,1,track,178
44,Rock n' Roll,Suicide,spotify:track:1MZ2PkMHIdEiGo8yLtZCiy,0.251,0.34,10,-15.731,0,0.0356,0.000124,0.734,0.11,0.0315,101.663,314733,4,67.56562,8,0,90,False,2,1998-03-06,disc_number,7,album,spotify:album:5tl8kzFCTnnelWmJCrtzH1,1,track,177
45,My Bucket's Got A Hole In It,Kid Ory,spotify:track:6P24Hq4lGoO8WU8MiCfoag,0.685,0.409,5,-13.102,1,0.0737,0.491,0.228,0.631,0.864,138.635,295133,4,20.89579,13,0,90,False,2,1990,disc_number,10,album,spotify:album:7gXajj8o47ghF8VktDLN1T,1,track,178
46,If I Ruled The World,Nas,spotify:track:5PQmSHzWnlgG4EBuIqjac2,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,282373,4,23.15403,14,1,90,True,14,1996-07-02,disc_number,14,album,spotify:album:78Fgb88MY0ECc4GVMejqTg,2,track,178
47,A New Dawn - Gujarat Prabhatiyu,Rakesh Chaurasia,spotify:track:0BFwipUuYDILoHZ2GezTKF,0.347,0.54,4,-6.839,1,0.0305,0.364,0.0565,0.124,0.449,141.814,412720,4,25.2752,19,0,90,False,2,1999-12-28,disc_number,9,compilation,spotify:album:6w1kEDQNSyajPV9k44skb2,7,track,176
48,Alright - Demo,Osker,spotify:track:18t3mlQ0qPky2J1MEByC2i,0.319,0.967,3,-6.067,1,0.122,0.124,0.0,0.124,0.714,108.664,113827,4,82.77861,3,0,90,False,19,1998,disc_number,25,compilation,spotify:album:38fG3ygMcapIli5SWJI930,1,track,178
49,Images In Stone,Patrick O'Hearn,spotify:track:0ReGms8iLrj6dyHjkQSHpT,0.174,0.278,3,-20.169,1,0.0378,0.0402,0.795,0.101,0.0489,70.064,249533,3,24.45184,14,0,90,False,7,1996-01-01,disc_number,9,album,spotify:album:1pK2yM9NGmdWwlxpDVEg63,1,track,178
50,Punk Rock 101,Diesel Boy,spotify:track:4TM8FBojGAfApm4n109A72,0.327,0.906,1,-6.617,0,0.0719,3.28e-05,1.11e-05,0.0655,0.342,102.413,106333,3,20.69348,6,0,90,False,4,1996,disc_number,13,album,spotify:album:5CflWRJhHBqeZ4SZuPtDQd,1,track,177
51,Going Great,Keith Mansfield,spotify:track:1jdSaAKgKJWqKfCG27uYis,0.595,0.729,10,-13.383,0,0.0387,0.00262,0.928,0.0705,0.75,108.028,147707,4,37.89875,8,0,90,False,9,1991-09-22,disc_number,12,album,spotify:album:09OgSiHeRTZkQ165OIiC4w,2,track,172
52,Teenage Chase,Keith Mansfield,spotify:track:1fTBI3r4rA2tLzMsAup4iw,0.735,0.575,0,-7.341,1,0.063,0.195,0.915,0.135,0.848,145.371,141493,4,26.859,9,0,90,False,13,1997-03-22,disc_number,18,compilation,spotify:album:2LscdictQbjN7PTZZ2EjTO,1,track,177
53,Say It,Voices Of Theory,spotify:track:5919i3Sp9U2IE5m7hhlgSw,0.381,0.415,0,-10.298,1,0.0691,0.675,0.0,0.0795,0.257,61.908,269467,3,26.47203,9,1,90,False,4,1998,disc_number,12,album,spotify:album:6bOFBjlmYKgdUB0NdLLxxn,1,track,173
54,Darn That Dream,Dexter Gordon,spotify:track:1r1JtYz4XhvIIU1bIMQ0cn,0.526,0.0921,4,-14.569,0,0.0386,0.918,0.329,0.116,0.292,115.388,452333,4,37.63463,19,0,90,False,1,1991-01-01,disc_number,8,album,spotify:album:5lzhBDGZKhGKFFVlMOKR0K,1,track,178
55,The Christmas Song,Rosemary Clooney,spotify:track:23OheZvcp1ikImwgj4zFFz,0.359,0.225,7,-12.624,1,0.0336,0.9,0.000328,0.111,0.165,130.443,228360,4,23.99633,11,0,90,False,1,1996-01-01,disc_number,21,album,spotify:album:1dpLZ4eNVNOwIpNOkA5amg,1,track,75
56,Segura esta Mulher,Silvio Caldas,spotify:track:4KkF4KNWkRFlSW8B5Bulgx,0.821,0.424,7,-11.753,1,0.05,0.925,0.0,0.364,0.955,119.675,149200,4,36.85945,7,0,90,False,3,1998-08-07,disc_number,21,album,spotify:album:5C0D1hzSVtP4vekrVlFAJI,2,track,177
57,When Will I See You Smile Again?,Bell Biv DeVoe,spotify:track:3q0QmvdwHBETS89ZvelClL,0.727,0.436,6,-11.862,0,0.0281,0.0492,0.00338,0.0686,0.381,124.021,307133,4,24.0258,12,1,90,False,8,1990-01-01,disc_number,10,album,spotify:album:6H5mxGUWguDjtQ4Uzd8veD,1,track,178
58,King Darius Suite,VeggieTales,spotify:track:0Qqschhs4Szs4SVSCuE5MM,0.64,0.361,3,-10.099,1,0.253,0.794,0.0,0.104,0.613,139.457,131227,4,56.23845,5,0,90,False,4,1995-11-22,disc_number,16,album,spotify:album:5eYI49hhEFoEsJqpdWnXDx,1,track,164
59,Georgia On My Mind,Michael Bolton,spotify:track:49kdc9KAqm4N28Y01g8SuS,0.321,0.435,11,-10.942,1,0.0341,0.256,1.06e-05,0.086,0.174,158.465,298133,3,45.70894,18,1,90,False,2,1989-06-27,disc_number,10,album,spotify:album:5g9LXOhTPW9Iow6GZPRg2D,1,track,178
60,My Name Is,Eminem,spotify:track:75IN3CtuZwTHTnZvYM4qnJ,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,268400,4,101.41937,8,1,90,True,2,1999-02-23,disc_number,20,album,spotify:album:0vE6mttRTBXRe9rKghyr1l,1,track,177
61,Thrash Under Pressure,Exodus,spotify:track:2vjQLtmUsAAgTl0nPceoV0,0.373,0.997,11,-5.442,0,0.213,0.000402,0.377,0.474,0.182,106.049,159707,4,18.80157,7,0,90,True,9,1990-01-01,disc_number,9,album,spotify:album:4jypnmh239ilAp8Ww0NYFS,1,track,178
62,Foolish Heart,Sharon Bryant,spotify:track:7JR5s8DtDZxhVHAqawvo20,0.642,0.419,1,-12.609,1,0.0316,0.481,0.0,0.0523,0.755,95.6,279840,4,46.68056,10,1,90,False,4,2002-01-01,disc_number,10,compilation,spotify:album:0CK6y56jdJynQ2KjiLCYPF,1,track,2
63,That's The Way Love Goes,Young M.C.,spotify:track:4bw5Pth0q5KcguwvAv0dVt,0.849,0.694,6,-14.43,0,0.0642,0.0232,0.00252,0.0524,0.932,118.309,229307,4,34.91088,9,1,90,False,13,2011-01-01,disc_number,20,compilation,spotify:album:3wfnvFWWYA8kPNXOvjkIlo,1,track,177
64,Stock Yards Strut,Small Jazz Band,spotify:track:6GPUHTXaKdrvxlYoUnUHk1,0.802,0.437,8,-12.955,1,0.0733,0.712,0.87,0.192,0.981,112.5,254695,4,77.394,11,0,90,False,5,1996-06-01,disc_number,15,album,spotify:album:4uWXOkwZ8fsAKadUh3SyKh,1,track,178
65,No Myth,Michael Penn,spotify:track:4SZozsPsG0vJ2Ti8BGxKsR,0.633,0.795,0,-7.617,1,0.0319,0.054,8.83e-05,0.34,0.833,103.504,250813,4,72.89685,10,1,90,False,7,1989,disc_number,21,album,spotify:album:5cNg2LHVj710qnBFFMysGq,1,track,178
66,Amor De Escuela,Luis Miguel,spotify:track:1SKCQnKAuduNb0tOSTpRG9,0.541,0.726,0,-5.582,1,0.0406,0.277,0.0,0.219,0.763,114.092,194809,3,29.23983,10,0,90,False,8,1997,disc_number,17,album,spotify:album:2iHlHuAzbGeMt9J2udUDAl,1,track,1
67,Kalinka,Limpopo,spotify:track:35Q0piq5ACqGsiGyatdjge,0.452,0.715,4,-8.245,0,0.0969,0.78,0.0,0.0681,0.866,120.445,90600,4,22.89757,6,0,90,False,20,1991-12-02,disc_number,20,album,spotify:album:3dUQFdkhSMZNYEaMo2Vqdc,3,track,177
68,When It's Sleepytime Down South,Wynton Marsalis,spotify:track:0ZO3xca4fN38Be1un20nc9,0.532,0.132,8,-15.891,1,0.047,0.865,0.159,0.166,0.332,89.321,309000,4,44.3113,13,0,90,False,1,1991-03-26,disc_number,12,album,spotify:album:4cmRWv6XOmC9sRryBkeU8U,1,track,178
69,Creep With Me,South Park Mexican,spotify:track:1qSMPxxsXOqTiAqWrnnVlg,0.847,0.529,4,-7.339,0,0.261,0.229,0.0,0.256,0.945,160.033,253467,4,32.06404,14,0,90,True,5,1999,disc_number,15,album,spotify:album:7bCqfboOeIfLNtxxyd74cm,1,track,0
70,Hair Shoes (Demo),Pale Saints,spotify:track:5CjiJgkEWWji5aHCOCZP6j,0.12,0.368,4,-17.083,0,0.038,0.15,0.346,0.116,0.084,79.353,196227,5,28.59315,9,0,90,False,4,1991-06-24,disc_number,4,single,spotify:album:7pyRF4vb1WxOGQTgZk6tsw,1,track,0
71,Can't Let Go,Mariah Carey,spotify:track:0ikbcCJIJaY9sKEivAXJ4I,0.477,0.533,10,-11.049,1,0.0408,0.591,0.00685,0.139,0.18,162.368,266560,4,26.49111,12,1,90,False,3,1991-09-17,disc_number,10,album,spotify:album:0SHpIbyBLUugMXsl3yNkUz,1,track,178
72,Oirectine,Boards of Canada,spotify:track:6FGxhUgXzsj98rI7Yo915Z,0.826,0.47,1,-11.804,1,0.0646,0.225,0.951,0.111,0.174,106.099,311133,4,75.99269,10,0,90,False,2,1995,disc_number,8,album,spotify:album:0LDCQOBp7NFjkD1LbuusCG,1,track,177
73,"Tsar Saltan, Op. 57: Flight of the Bumblebee",Nikolai Rimsky-Korsakov,spotify:track:08ttJ6UR1O7Ofrpu1Qe939,0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,84267,4,51.06891,4,0,90,False,6,1995-08-15,disc_number,7,album,spotify:album:3dHAjiutt0Q3el7vUKiD68,3,track,2
74,L.A. Song,Beth Hart,spotify:track:69pBTbnLue0leYUCMAFqPj,0.351,0.615,7,-7.621,1,0.0451,0.206,0.0,0.985,0.337,127.798,271107,3,58.57055,10,1,90,False,11,2005-09-06,disc_number,13,album,spotify:album:5zl6ua7L4b04AcDELC6xoo,1,track,0
75,Rock-n-roll - это не работа,Alisa,spotify:track:43YE3dS5p9Gf4wmkPwn4yn,0.496,0.869,9,-7.754,1,0.118,0.179,4e-06,0.328,0.559,115.275,254240,4,31.46344,7,0,90,False,6,1997-01-01,disc_number,9,album,spotify:album:664A6fsCJlFSTYhfspcoDO,1,track,0
76,Blues X Man,The Jon Spencer Blues Explosion,spotify:track:3jdKHCmYhTEpypRotNqFs3,0.633,0.647,9,-3.691,1,0.122,0.281,0.285,0.311,0.63,94.824,213147,4,39.46883,11,0,90,False,10,1994-10-14,disc_number,13,album,spotify:album:6n6VzpTcnHFpGVwJhLNkoH,1,track,177
77,Church Of Your Heart,Roxette,spotify:track:6broBHB7ObAA2BhzLT2nlX,0.581,0.637,7,-6.039,1,0.0273,0.0146,1.15e-05,0.103,0.608,112.437,195987,4,34.71079,10,1,90,False,11,1991-03-28,disc_number,15,album,spotify:album:2s39oUayLt0O5uXkdgmheY,1,track,1
78,Can't Stop This Thing We Started,Bryan Adams,spotify:track:753VOnELPOptUFMm7H10Vc,0.497,0.93,9,-3.902,1,0.0444,0.0112,0.0,0.354,0.47,113.086,195933,4,21.81515,10,1,90,False,2,2017-11-03,disc_number,21,compilation,spotify:album:3AUHDaXUhZimlDLFh4sTDV,1,track,178
79,Peach,Beborn Beton,spotify:track:61u4h6IUG74LyvxzmvFToc,0.632,0.852,0,-8.265,1,0.037,0.0235,0.122,0.056,0.559,125.009,270187,4,39.4452,15,0,90,False,4,1999-03-22,disc_number,20,album,spotify:album:7G2Qq90mpnftfai91tjK9E,1,track,0
80,Downtown Train,Rod Stewart,spotify:track:5XJzh2c0roCc6GDs8PrILx,0.527,0.584,10,-7.965,1,0.0314,0.0878,0.000103,0.117,0.271,114.941,279413,4,29.41867,15,1,90,False,12,1996-11-12,disc_number,15,album,spotify:album:2GmrcFfoRPSKmmSyh36Bu6,1,track,178
81,One Of Us,Joan Osborne,spotify:track:1xNmF1Uep5OGutizZSbKvd,0.316,0.499,9,-7.899,1,0.0298,0.0108,1.81e-05,0.126,0.403,174.782,320467,4,38.6325,15,1,90,False,6,1995-01-01,disc_number,12,album,spotify:album:1qgjfFOO3IMDimAuAWZLLt,1,track,81
82,Love On My Mind,Xscape,spotify:track:5hzdcPTFKEuRVuN8cTkcvl,0.892,0.488,3,-9.748,0,0.041,0.0316,0.0,0.0284,0.786,101.89,228902,4,41.96758,10,1,90,False,9,1993-10-12,disc_number,11,album,spotify:album:6JtogZdgh6aCgfMjCi40FN,1,track,178
83,My Baby Mama,QT,spotify:track:0Ib6Harf3hHKOwXGeHaM5O,0.688,0.519,2,-8.629,1,0.0421,0.114,0.0,0.0565,0.385,124.125,250973,4,35.78429,8,1,90,False,8,2012-04-10,disc_number,34,compilation,spotify:album:6igOCds7CDPrXORQOpkARo,1,track,0
84,Something Wild,Iggy Pop,spotify:track:18vGIMUWsWCFteG0ADixbS,0.595,0.772,7,-10.869,1,0.0263,0.0463,4.81e-05,0.196,0.679,129.044,241440,4,74.43606,10,0,90,False,8,1990-06-01,disc_number,14,album,spotify:album:2Il7QADGDfqLRsJkAx0JY8,1,track,177
